iter	Passed	Remaining
0	40	40392
1	74	37422
2	110	36654
3	136	33932
4	161	32218
5	195	32317
6	223	31698
7	253	31434
8	279	30830
9	312	30912
10	343	30851
11	371	30550
12	397	30202
13	422	29772
14	450	29608
15	478	29430
16	505	29200
17	528	28813
18	551	28496
19	575	28199
20	598	27901
21	623	27715
22	649	27584
23	678	27588
24	706	27555
25	736	27581
26	760	27399
27	787	27328
28	814	27256
29	842	27228
30	874	27332
31	902	27309
32	927	27184
33	957	27190
34	980	27034
35	1008	26992
36	1055	27480
37	1080	27353
38	1106	27259
39	1131	27152
40	1160	27154
41	1186	27055
42	1208	26897
43	1231	26754
44	1255	26643
45	1279	26527
46	1302	26409
47	1326	26317
48	1352	26241
49	1378	26194
50	1411	26268
51	1435	26175
52	1457	26050
53	1481	25951
54	1504	25851
55	1528	25770
56	1553	25708
57	1575	25590
58	1614	25753
59	1637	25652
60	1663	25602
61	1686	25519
62	1709	25431
63	1734	25365
64	1759	25309
65	1783	25236
66	1806	25159
67	1832	25112
68	1859	25086
69	1884	25039
70	1927	25220
71	1954	25185
72	1990	25273
73	2017	25244
74	2041	25182
75	2068	25145
76	2098	25150
77	2132	25203
78	2157	25150
79	2184	25124
80	2206	25036
81	2233	25002
82	2255	24922
83	2280	24863
84	2302	24790
85	2332	24784
86	2365	24822
87	2402	24899
88	2436	24936
89	2469	24971
90	2494	24922
91	2522	24891
92	2548	24855
93	2579	24863
94	2617	24938
95	2649	24954
96	2677	24921
97	2710	24944
98	2744	24976
99	2778	25005
100	2815	25061
101	2853	25122
102	2894	25210
103	2934	25278
104	2964	25270
105	2991	25232
106	3026	25255
107	3061	25284
108	3090	25262
109	3131	25340
110	3163	25334
111	3201	25384
112	3244	25465
113	3280	25495
114	3317	25526
115	3350	25534
116	3389	25579
117	3420	25567
118	3459	25609
119	3498	25654
120	3543	25738
121	3572	25710
122	3611	25748
123	3647	25764
124	3678	25752
125	3713	25760
126	3745	25747
127	3771	25696
128	3795	25625
129	3828	25619
130	3854	25568
131	3887	25562
132	3928	25606
133	3957	25575
134	3988	25558
135	4022	25555
136	4059	25570
137	4093	25570
138	4130	25583
139	4158	25543
140	4191	25532
141	4218	25490
142	4246	25450
143	4281	25453
144	4317	25458
145	4361	25512
146	4392	25489
147	4428	25494
148	4458	25463
149	4492	25458
150	4521	25424
151	4554	25411
152	4590	25412
153	4625	25408
154	4659	25401
155	4697	25415
156	4721	25350
157	4753	25331
158	4776	25265
159	4809	25249
160	4838	25212
161	4861	25145
162	4894	25131
163	4920	25080
164	4955	25079
165	4992	25083
166	5017	25025
167	5051	25017
168	5075	24956
169	5103	24918
170	5134	24893
171	5166	24869
172	5201	24864
173	5236	24855
174	5274	24863
175	5305	24840
176	5348	24866
177	5378	24836
178	5405	24791
179	5437	24771
180	5481	24802
181	5517	24800
182	5557	24812
183	5587	24780
184	5621	24765
185	5657	24758
186	5687	24727
187	5720	24706
188	5752	24682
189	5782	24650
190	5812	24621
191	5843	24590
192	5865	24527
193	5895	24494
194	5927	24468
195	5956	24435
196	5995	24440
197	6029	24421
198	6067	24420
199	6097	24390
200	6128	24361
201	6159	24332
202	6182	24271
203	6211	24238
204	6234	24177
205	6263	24143
206	6294	24112
207	6321	24070
208	6356	24058
209	6383	24013
210	6408	23962
211	6439	23934
212	6465	23890
213	6490	23838
214	6518	23801
215	6549	23772
216	6575	23728
217	6603	23686
218	6629	23642
219	6664	23627
220	6690	23583
221	6726	23573
222	6757	23544
223	6790	23525
224	6816	23477
225	6842	23433
226	6873	23407
227	6907	23388
228	6936	23353
229	6964	23317
230	6997	23293
231	7022	23246
232	7051	23213
233	7085	23194
234	7115	23162
235	7140	23117
236	7171	23088
237	7195	23036
238	7222	22997
239	7252	22966
240	7277	22919
241	7303	22875
242	7337	22856
243	7372	22843
244	7396	22793
245	7426	22761
